name,price,Net Quantity,Best Sellers Rank,Product Dimensions
"Alpenliebe Cream Fills Butter Toffee, 184g (46 unitsx4g each)",₹ 50.00,184.0 gram,"#1,613 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #4 in Candies & Mints",
"Dabur Hajmola Tablet, Anardana, 120 Tablets",₹ 35.00,3 x 1 x 5.5 cm; 200 Grams,120 Tablets,#172 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #1 in Candies & Mints
Hoots Hoot Candy Combo Pack of Orange Candy (210gms) & Cola Candy(210gms),₹ 237.00,"#7,434 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #78 in Candies & Mints",,
"Mentos, Rainbow Assorted, Chewy Dragees Pouch, 156.4g, 46pc",₹ 50.00,46 count,"#2,009 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #8 in Candies & Mints",
Jiva Amla Chatpata Candy - 450 g (Pack of 1) | Boosts Immunity and Digestion,₹ 211.00,,,
Hoots Candy Combo Pack of Imli Candy & Chatpata Masala Candy Combined Weight 420gms,₹ 237.00,420 gram,"#6,113 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #57 in Candies & Mints",
Hoots Candy Combo Pack of of Orange Candy & Chatpata Masala Candy Combined Weight 420gms,₹ 237.00,420 gram,"#3,937 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #30 in Candies & Mints",
"Ice Breakers Coolmint Sugar Free Mints, 42 g",₹ 142.00,42.0 gram,"#6,257 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #60 in Candies & Mints",
HealthAndYoga S S Tongue Cleaner Surgical Quality,₹ 174.00,,,
Blomideal Tongue Cleaner | Scraper (Set-2)| Fresher Breath | Taste Enhancer | Surgical Grade Austenitic Steel Naturally Antibacterial and Durable for Life Long Fresh Breath and Oral Health (Sliver Strip Handle),₹ 196.00,,,
Organic Purify-Jelly Candy Chocolate Fruits Flavour- 400GM,₹ 179.00,400.0 gram,"#6,655 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #66 in Candies & Mints",
"Delica Mouth Spray (Strawberry , Polar Mint, Mojito Mint, Assorted Pack of 3)",₹ 147.00,3.00 count,"#4,714 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #40 in Candies & Mints",
Dabur Hajmola Imli - Tasty Digestive Tablets - 160 Sachet Jar with Dabur Amla Hair Oil - 25 ml,₹ 155.00,,,
Kosha Ayurveda Copper Perfect Surgical Tongue Cleaner Scraper Flexible Handle with Comfort Grip (2),₹ 190.00,,,
"House of candy Pink & White Tubes Marshmallow Candy, Strawberry/Vanilla Flavours, 100 g",₹ 160.00,100.0 gram,13 x 13 x 13 cm; 100 Grams,"#3,233 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #20 in Candies & Mints"
"Dabur Hajmola Regular - Tasty Digestive Tablets,120 Count",,,,
Candyman Choco Double Eclairs - 100 Eclairs in Ziplock Pack,₹ 100.00,380.0 gram,"#7,034 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #71 in Candies & Mints",
Harnik Phantom Sweet Cigarette Candy - Pack Of 24 With Caramel Pudding Mix,₹ 240.00,24 count,16.5 x 15.5 x 6.5 cm; 419 Grams,"#2,810 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #16 in Candies & Mints"
D Bhar Dulal's Palm Candy (500 g x 2),₹ 160.00,1000 gram,"#3,952 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #31 in Candies & Mints",
"GO DESi Popz Kaccha Aam- 40 Pieces, 360 g",₹ 220.00,400.0 gram,13 x 13 x 4 cm; 400 Grams,"#2,109 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #9 in Candies & Mints #45 in Chocolate"
"Mee Mee Tender Tongue Cleaner Brush (Single Pack, Green)",₹ 141.00,3 x 1.5 x 20 cm; 20 Grams,#313 in Baby Products ( See Top 100 in Baby Products ) #4 in Baby Toothbrushes #8 in Breath Fresheners #25 in Manual Toothbrushes,1 U
"GO DESi Popz Kaccha Aam- 10 Pieces, 90 gm",₹ 50.00,4.3 x 2 x 8 cm; 90 Grams,1 count,"#3,643 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #25 in Candies & Mints"
Mahak Kandiez Mint Chocon Candies / Mint / Mouth Fresh/ Mint and Choco (Pack of 1 Dispenser),,900 gram,25 x 15 x 9 cm; 900 Grams,"#6,291 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #61 in Candies & Mints"
